Author Surname,Date,Author First name,Title of Work,Publisher,Place of Publication,Format of Work,Copy Payee Surname,Copy Payee First Name,Amount,Sheets,Book Price in Decimal,Gender,Number of Pages,Genre of Work,Payment:Sheet Ratio,Copyright Purchaser Surname,Simplified Author Surname for sorting
Crosse,1718,n/a,"The practical distiller: or, a brief treatise of practical distillation.",London: printed for B. Lintot.,London,8,Crosse,,1.075,2.416666667,0.05,Male,58,Prose--Reference,0.444827586,Lintot,Crosse
Fiddes,1718,Richard,"Theologia speculativa: or, The First Part of a Body of Divinity Under that Title.","Printed by W. Bowyer, for Bernard Lintot; Printed by W. Bowyer for Bernard Lintot between the Temple-Gates in Fleetstreet.",London,2,Fiddes,Richard,252,54.33333333,1.25,Male,1304,Prose--Religion,4.63803681,Lintot,Fiddes
Homer,1718,n/a,The Iliad of Homer vol 4,"Printed by W. Bowyer, for Bernard Lintott between the Temple-Gates.",London,2,Pope,Alexander,365,12.91666667,1.075,Male,310,Verse--Epic Poem,28.25806452,Lintot,Homer
Jacob,1718,Giles,An appendix to The modern justice: containing the particular business of the Quarter Sessions.,"Printed by Eliz. Nutt, and R. Gosling, (assigns of Edw. Sayer Esq;) for Bernard Lintot, between the Temple-Gates in Fleet-street.",London In the Savoy,8,Jacob,Giles,5.25,3.333333333,0.1,Male,80,Prose--Law,1.575,Lintot,Jacob
Laurence,1718,John,"The fruit-garden kalendar: or, a summary of the art of managing the fruit-garden. ... By John Laurence, M.A. ...",Printed for Bernard Lintot.,London,8,Laurence,John,36.75,7,0.1,Male,168,Prose--Reference,5.25,Lintot,Laurence
Molloy,1718,Charles,"The Coquet: or, The English Chevalier","Printed for E. Curll at the Dial and Bible, and R. Francklin at the Sun, both against St. Dunstan’s Church in Fleetstreet. ",London,8,Molloy,Charles,5.375,4.166666667,0.075,Male,100,Drama--Comedy,1.29,Curll,Molloy
Jacob,1719,Giles,"The law military; or a methodical collection of all the laws and statutes relating to the armies and soldiery of Great Britain: and also to the Navy-Royal, cruisers, convoys, privateers, etc. under proper Heads, down to this time.","Printed by Eliz. Nutt and R. Gosling (assigns of Edw. Sayer, Esq;) for B. Lintot at the Cross Keys between the Temple-Gates in Fleetstreet.",London In the Savoy,12,Jacob,Giles,2.625,6.5,0.075,Male,156,Prose--Law,0.403846154,Lintot,Jacob
Jacob,1719,Giles,"The statute-Law common-plac’d: or, a second general table to the statutes.","Printed by Eliz. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Bernard Lintot, between the Temple Gates",London In the Savoy,8,Jacob,Giles,17.85,10,0.15,Male,240,Prose--Law,1.785,Lintot,Jacob
Jacob,1719,Giles,The laws of appeals and murder.,"Printed by Eliz. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Bernard Lintot, between the Temple-Gates",London In the Savoy,8,Jacob,Giles,10.5,10.25,0.175,Male,246,Prose--Law,1.024390244,Lintot,Jacob
Jacob,1719,Giles,"Lex constitutionis: or, the gentleman’s law being, a compleat treatise of all the laws and statutes relating to the King, and the Prerogative of the Crown; the Nobility, and House of Lords; House of Commons; Officers of State; the Exchequer and Treasury; Commissioners and Officers of the Customs; of the Excise; of the Post-Office; Stamp-Office; Forfeited Estates; Publick Accounts; the Navy-Office; War-Office; Lieutenancy of Counties; Justices of Peace, &c.","Printed by Eliz. Nutt and R. Gosling, (assigns of Edward Sayer, Esq;) for B. Lintot, between the Temple-Gates, Fleet-Street.",London In the Savoy,8,Jacob,Giles,21,16.16666667,0.3,Male,388,Prose--Law,1.298969072,Lintot,Jacob
Johnson,1719,Charles,The Masquerade,Printed for Bernard Lintot.,London,8,Johnson,Charles,36.75,4,0.075,Male,96,Drama,9.1875,Lintot,Johnson
Killigrew (the Younger),1719,Thomas,Chit-Chat,"Printed for Bernard Lintot, between the Temple Gates.",London,8,Killigrew,Thomas (the Younger),84,3.416666667,0.075,Male,82,Drama--Comedy,24.58536585,Lintot,Killigrew
Sewell,1719,George,The Tragedy of Sir Walter Raleigh,"Printed for John Pemberton at the Buck, over-agaisnt St. Dunstan’s Church in Fleet-Street; and John Watts, at the Printing-Office in Wild-Court near Lincolns-Inn-Fields. ",London,8,Sewell,George,37.9,3.333333333,0.075,Male,80,Drama--Tragedy,11.37,Uknown,Sewell
Southerne,1719,Thomas,The Spartan Dame,"Printed for W. Chetwood at Cato’s-Head, in Russel-street, Covent-Garden; and T. Jauncy at the Angel without Temple-Bar.",London,8,Southerne,Thomas,150,3.333333333,0.075,Male,80,Drama--Tragedy,45,Uknown,Southerne
Homer,1720,n/a,The Iliad of Homer vol 6,"Printed by W. Bowyer, for Bernard Lintott between the Temple-Gates.",London,2,Pope,Alexander,365,10.41666667,1.075,Male,250,Verse--Epic Poem,35.04,Lintot,Homer
Homer,1720,n/a,The Iliad of Homer vol 5,"Printed by W. Bowyer, for Bernard Lintott between the Temple-Gates.",London,2,Pope,Alexander,365,12.25,1.075,Male,294,Verse--Epic Poem,29.79591837,Lintot,Homer
Jacob,1720,Giles,"The modern justice: containing the business of a justice of peace, in all its parts. As an Abridgment of the Common Law, and of all the Acts of Parliament relating to Justices of Peace, Constables, and other Parish Officers under them","Printed by Eliz. Nutt and R. Gosling, (assigns of Edw. Sayer, Esq;) for B. Lintot at the Cross-Keys in Fleetstreet.",London In the Savoy,8,Jacob,Giles,4.2,23,0.3,Male,552,Prose--Law,0.182608696,Lintot,Jacob
Leigh,1720,John,"Kensington-Gardens: or, The Pretenders","Printed for E. Curll next the Temple-Coffee-House in Fleetstreet, T. Jauncy at the Angel without Temple-Bar, A. Bettesworth at the Red-Lion in Paternoster-Row, and J. Brotherton at the Black-Bull in Cornhill.",London,8,Leigh,John,47.25,4.333333333,0.075,Male,104,Drama--Comedy,10.90384615,Curll,Leigh
Chaucer,1721,Geoffrey,The Works of Geoffrey Chaucer,"Printed for Bernard Lintot, between the Temple Gates.",London,2,Urry,John,560,31.66666667,1.5,Male,760,Verse,17.68421053,Lintot,Chaucer
Hill,1721,Aaron,The Fatal Extravagance.  A Tragedy.,"Printed for T. Jauncy, at the Angel, without Temple-Bar",London,8,Mitchell,Joseph,5.25,1.833333333,0.05,Male,44,Drama,2.863636364,Watts,Hill
Keill,1721,John,"An introduction to the true astronomy: or, astronomical lectures, read in the astronomical school of the University of Oxford.","Printed for Bernard Lintot, at the Cross-Keys, between the Temple-Gates in Fleet-Street.",London,8,Keill,John,100,18,0.3,Male,432,Prose--Science,5.555555556,Lintot,Keill
Bellarmino,1722,Saint Roberto Francesco Romolo,The Second Part of the Joys of the Blessed,"Printed for E. Curll, at the Dial and Bible, over-against Catherine-Street, in the Strand.",London,8,Foxton,Thomas,5.5,7,0.15,Male,168,Prose--Religion,0.785714286,Curll,Bellarmino
Centlivre,1723,Susanna,The Artifice,"Printed for T. Payne, near Stationers-Hall.",London,8,Centlivre,Susanna,21,4.833333333,0.075,Female,116,Drama--Comedy,4.344827586,Curll,Centlivre
de Sallengre,1723,Albert Henri,"Ebrietatis Encomium: or, The Praise of Drunkenness",Printed for E. Curll.,London,12,Samber,Robert,5.7,8.916666667,0.125,Male,214,Prose--Fiction,0.639252336,Curll,de Sallengre
Hill,1723,Aaron,"King Henry the Fifth: or, The Conquest of France, by the English","Printed for W. Chetwood in the Passage to the Theatre-Royal in Drury Lane, and J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn-Fields.",London,8,Hill,Aaron,42,3.333333333,0.075,Male,80,Drama--Tragedy,12.6,Uknown,Hill
Stackhouse,1723,Thomas,"Memoirs of the life, and conduct, of Dr. Francis Atterbury, late Bishop of Rochester, from his birth, to his banishment.",Printed in the Year.,London,8,Stackhouse,Thomas,10.5,7,0.1,Male,168,Prose--History,1.5,Curll,Stackhouse
Steele,1723,"Richard, Sir",The Conscious Lovers,Printed for J. Tonson.,London,8,Steele,Sir Richard,40,4.416666667,0.075,Male,106,Drama,9.056603774,Tonson,Steele
Cibber,1725,Colley,Cæsar in Ægypt,Printed for John Watts.,London,8,Cibber,Colley,105,3.5,0.075,Male,84,Drama--Tragedy,30,Watts,Cibber
Homer,1725,n/a,"The Odyssey of Homer vols 4, 5","Printed by W. Bowyer, for Bernard Lintott between the Temple-Gates.",London,4,Pope,Alexander,425.9,27.33333333,0.85,Male,656,Verse--Epic Poem,15.58170732,Lintot,Homer
Homer,1725,n/a,"The Odyssey of Homer vols 1, 2, 3","Printed by W. Bowyer, for Bernard Lintott between the Temple-Gates.",London,4,Pope,Alexander,615.3,41.91666667,0.85,Male,1006,Verse--Epic Poem,14.67912525,Lintot,Homer
Smith,1725,"George, distiller","A compleat body of distilling, explaining the mysteries of that science, in a most easy and familiar manner; Containing an Exact and accurate Method of making all the Compound Cordial-Waters now in Use, with a particular Account of their several Virtues: As also a directory Consisting of All the Instructions necessary for learning the distillers art; with a Computation of the original Cost of the several Ingredients, and the Profits arising in Sale. Adapted no less to the Use of private Families, than of Apothecaries and Distillers. ",Printed for Bernard Lintot between the Temple-Gates.,London,8,"Smith, of Kendal",George,20,6.666666667,0.125,Male,160,Prose--Science,3,Lintot,Smith
Barford,1726,Richard,The assembly. An heroi-comical poem. in five cantos.,Printed for B. Lintot at the Cross-Keys between the Temple-Gates in Feet-Street.,London,8,Barford,Richard,15.75,2.666666667,0.05,Male,64,Verse,5.90625,Lintot,Barford
Breval,1726,John,"Remarks on Several Parts of Europe: Relating Chiefly to the History, Antiquities and Geography, of those Countries through which the Author has Travel'd; as France, the Low Countries, Lorrain, Alsatia, Germany, Savoy, Tyrol, Switzerland, Italy and Spain. Illustrated with several maps, Plans, and above Forty Copper Plates.",Printed for Bernard Lintot at the Cross-Keys between the Temple-Gates in Fleetstreet.,London,2,Breval,John,462,28.25,2.5,Male,678,Prose--Travel,16.3539823,Lintot,Breval
Chetwood,1726,William-Rufus,The Life and History of Captain Robert Boyle The Voyages and Adventures of Captain Robert Boyle,"Printed for John Watts, at the printing-office in Wild-Court, near Lincolns-Inn Fields.",London,8,Chetwood,William-Rufus,15,16,0.25,Male,384,Prose--Fiction,0.9375,Uknown,Chetwood
Foxton,1727,Thomas,The Tower,"Printed in the Year, 1727 1726.",London,12,Foxton,Thomas,1.2,2,0.05,Male,48,Verse,0.6,Curll,Foxton
Marvell,1726,Andrew,The works of Andrew Marvell Esq,Printed for E. Curll.,London,12,Cooke,Thomas,5,17.25,0.3,Male,414,Verse,0.289855073,Curll,Marvell
Somervile,1727,William,"Occasional poems, translations, fables, tales, &c.","Printed for Bernard Lintot, at the Cross-Keys between the Temple-Gates, Fleet-street.",London,8,Somervile,William,35.75,16.58333333,0.275,Male,398,Verse,2.155778894,Lintot,Somervile
Swift,1726,Jonathan,"Travels into several remote nations of the world. In four parts. By Lemuel Gulliver, first a surgeon, and then a captain of several ships.","Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-Street.",London,8,Swift,Jonathan,200,29.33333333,0.425,Male,704,Prose--Fiction,6.818181818,Motte,Swift
Harte,1727,Walter ,Poems on Several Occasions,"Printed for Bernard Lintot, at the Cross-Keys between the Temple-Gates, in Fleetstreet.",London,8,Harte,Walter,30,11.58333333,0.2,Male,278,Verse,2.589928058,Lintot,Harte
Pitt,1727,Christopher,Poems and translations.,Printed for Bernard Lintot; and Arthur Bettesworth.,London,8,Pitt,Christopher,21,8.666666667,0.175,Male,208,Verse,2.423076923,Lintot,Pitt
Smythe,1727,James Moore,The Rival Modes,"Printed for Bernard Lintot, at the Cross-Keys between the Temple-Gates in Fleetstreet.",London,8,Smythe,James Moore,105,3.333333333,0.075,Male,80,Drama--Comedy,31.5,Lintot,Smythe
Welsted,1727,Leonard,"Dissembled Wanton: or, My Son Get Money.","Printed for John Watts, at the Printing-Office in Wild-Court, near Lincoln’s-Inn-Fields.",London,8,Welsted,Leonard,63,3.666666667,0.075,Male,88,Drama--Comedy,17.18181818,Watts,Welsted
Cibber,1728,Colley,"The Provok’d Husband: or, A Journey to London",Printed for J. Watts.,London,8,Cibber,Colley,105,4.833333333,0.075,Male,116,Drama,21.72413793,Uknown,Cibber
Dézallier d'Argenville,1728,A.-J. (Antoine-Joseph),The theory and practice of gardening,"Printed for Bernard Lintot, at the Cross-Keys, between the Temple-Gates, in Fleet-Street.",London,4,James,John,70,13.5,0.925,Male,324,Prose--Reference,5.185185185,Lintot,Dézallier d'Argenville
England and Wales. Court of King’s Bench.,1728,n/a,"Reports of cases adjudged in the Court of King’s Bench, from the thirty-third year of King Charles the Second, to the ninth year of King William the Third. With some arguments in special cases. By Robert Skinner, ... Published by his son Mathew Skinner, ...","In the Savoy: printed by E. and R. Nutt and R. Gosling, (assigns of E. Sayer, Esq;) for Bernard Lintot, at the Cross Keys, between the Temple-Gates in Fleet-Street.",London,2,Skinner,Matthew,350.75,32.58333333,1.7,Male,782,Prose--Law,10.76470588,Lintot,England and Wales
Mallet,1728,David,The Excursion,"Printed for J. Walthoe, at the Golden-Ball, against the Royal-Exchange in Cornhill.",London,8,Mallett,David,25,3.166666667,0.05,Male,76,Verse,7.894736842,Walthoe,Mallet
Fuzelier,1729,Louis,"Momus turn’d Fabulist: or, Vulcan’s Wedding","Printed for J. Watts, at the Printing-Office in Wild-Court near Lincolns-Inn Fields.",London,8,Forrest,Ebenezer,15.75,3.25,0.075,Male,78,Drama--Opera,4.846153846,Watts,Fuzelier
Burnet,1729,Thomas,Archaelogia Philosophicae,Printed for E. Curll.,London,8,Foxton,Thomas,11.025,16,0.3,Male,384,Prose--History,0.6890625,Curll,Burnet
Burnet,1729,Thomas,"De statu mortuorum & resurgentium tractatus. Of the state of the dead, and of those that are to rise.",Printed for E. Curll in the Strand.,London,8,Earbery,Matthias,8.4,5.833333333,0.525,Male,140,Prose--Religion,1.44,Curll,Burnet
Chetwood,1729,William Rufus,The Lover’s Opera,"Printed: and sold by A. Dodd, at the Peacock without Temple-Bar.",London,8,Chetwood,William Rufus,10.5,1.916666667,0.05,Male,46,Drama--Afterpiece,5.47826087,Uknown,Chetwood
Jacob,1729,Giles,The compleat parish-officer 5th ed,"Printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Bernard Lintot at the Cross Keys in Fleet-Street, and William Mears at the Lamb without Temple-Bar.",London In the Savoy,12,Jacob,Giles,1.05,8.5,0.075,Male,204,Prose--Law,0.123529412,Lintot,Jacob
Jacob,1729,Giles,"A new appendix to the modern justice. Containing a continuation of statutes relating to justices of peace, and their business and proceedings, to ... 1728, ... With precedents of warrants, commitments, &c. ... And also the manner of convictions, for all kinds of offences ... and some extraordinary law cases concerning justices of peace. Together with a new alphabetical summary of the game-laws; and the laws against gaming.","Printed by E. and R. Nutt, and R. Gosling, for B. Lintot",London In the Savoy,8,Jacob,Giles,2.1,5.166666667,0.2,Male,124,Prose--Law,0.406451613,Lintot,Jacob
Smith,1729,"George, distiller","The nature of fermentation explain'd; with the method of opening the body of any grain or vegetable subject, so as to obtain from it a spirituous liquor: Exemplified by the process of perparing rum, as 'tis manag'd in the West-Indies. With many other useful reflections and observations. To which is added, a collection of several compound cordial waters, with the art of preparing some artificial wines, not hitherto publish'd. By way of appendix to the Compleat body of distilling.",Printed for Bernard Lintot between the Temple-Gates.,London,8,Smith,"George, distiller",6.5,2.666666667,0.05,Male,64,Prose--Science,2.4375,Lintot,Smith
Mottley,1730,John,The Widow Bewitch’d,"Printed for J. Watts, at the Printing-Office in Wild-Court near Lincolns-Inn Fields.",London,8,Mottley,John,21,3,0.075,Male,72,Drama--Comedy,7,Uknown,Mottley
Walker,1730,Thomas,Fate of Villainy Villany,Printed for J. Watts.,London,8,Walker,Thomas,21,3.166666667,0.075,Male,76,Drama,6.631578947,Uknown,Walker
Cibber,1730,Theophilus,"The Lover: or, The Libertine Hypocrite",Printed for J. Watts.,London,8,Cibber,Theophilus,45,4.166666667,0.075,Male,100,Drama,10.8,Uknown,Cibber
Gay,1730,John,The Wife of Bath,Printed for Bernard Lintot.,London,4,Gay,John,25,3.333333333,0.075,Male,80,Drama--Comedy,7.5,Lintot,Gay
Gay,1730,John,The Wife of Bath. Revised and altered by the author.,"Printed for Bernard Lintot, at the Cross-Keys between the Temple-Gates in Fleetstreet.",London,8,Gay,John,75,3.333333333,0.075,Male,80,Drama--Comedy,22.5,Lintot,Gay
Martyn,1730,Benjamin,Timoleon,Printed for J. Watts.,London,8,Martyn,Benjamin,70,3.666666667,0.075,Male,88,Drama,19.09090909,Uknown,Martyn
Miller,1730,James,The Humours of Oxford,"Printed for J. Watts, at the Printing-Office in Wild-Court near Lincolns-Inn-Fields",London,8,Miller,James,80,3.833333333,0.075,Male,92,Drama--Comedy,20.86956522,Millar,Miller
Ralph,1730,James,"The Fashionable Lady: or, Harlequin’s Opera, in the Manner of a Rehearsal","Printed for J. Watts, at the Printing-Office in Wild-Court near Lincolns-Inn Fields.",London,8,Ralph,James,26.25,4.416666667,0.075,Male,106,Drama,5.943396226,Uknown,Ralph
Coffey,1731,Charles,"The Devil to Pay: or, Wives Metamorphos’d","Printed for J. Watts, at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.",London,8,Coffey,Charles,10.5,3.333333333,0.075,Male,80,Drama--Opera,3.15,Uknown,Coffey
Constable,1731,John,Reflections upon accuracy of style,"Printed for Henry Lintot, at the Cross-Keys, between the Temple-Gates, in Fleet-Street.",London,8,Constable,John,5.25,11,0.15,Male,264,Prose--Criticism/Aesthetics,0.477272727,Lintot,Constable
Jacob,1731,Giles,The compleat parish-officer 6th ed,"Printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Bernard Lintot, at the Cross-Keys in Fleet-Street; and S. Birt, at the Bible in Ave-Mary-Lane.",London In the Savoy,12,Jacob,Giles,1.05,8.5,0.075,Male,204,Prose--Law,0.123529412,Lintot,Jacob
Lillo,1731,George,"The London Merchant: or, The History of George Barnwell","Printed for J. Gray, at the Cross-Keys in the Poultry; and sold by J. Roberts, in Warwick-Lane.",London,8,Lillo,George,105,3.333333333,0.075,Male,80,Drama,31.5,Uknown,Lillo
Mitchell,1731,Joseph,"The Highland Fair: or, The Union of the Clans","Printed for J. Watts, at the Printing-Office in Wild-Court, near Lincoln’s-Inn-Fields..
",London,8,Mitchell,Joseph,31.5,4,0.075,Male,96,Drama--Opera,7.875,Uknown,Mitchell
Tracy,1731,John,Periander,"Printed for J. Watts, at the Printing-Office in Wild-Court near Lincoln’s-Inn-Fields.",London,8,Tracy,John,52.5,3.5,0.075,Male,84,Drama--Tragedy,15,Watts,Tracy
Fielding,1732,Henry,The Old Debauchees,Printed for J. W. and sold by J. Roberts in Warwick-Lane.,London,8,Fielding,Henry,10.5,1.833333333,0.05,Male,44,Drama--Comedy,5.727272727,Watts,Fielding
Fielding,1732,Henry,The Covent-Garden Tragedy,"Printed for J. Watts, and sold by J. Roberts in Warwick-Lane.",London,8,Fielding,Henry,10.5,2,0.05,Male,48,Drama--Tragi-Comical-Farce,5.25,Watts,Fielding
Bodens,1732,Charles,The Modish Couple,Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.,London,8,Bodens,Charles,80,3.666666667,0.075,Male,88,Drama--Comedy,21.81818182,Uknown,Bodens
Jacob,1732,Giles,"A treatise of feme coverts: or, the lady’s law. Containing all the laws and statutes relating to women...","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for B. Lintot, and sold by H. Lintot,at the Cross Keys, against St. Dunstan’s Church in Fleetstreet.",London,8,Jacob,Giles,10.5,12,0.225,Male,288,Prose--Law,0.875,Lintot,Jacob
Coffey,1733,Charles,"The Boarding School: or, The Sham Captain",Printed for J. Watts.,London,8,Coffey,Charles,10.5,1.833333333,0.05,Male,44,Drama--Farce,5.727272727,Uknown,Coffey
Havard,1733,William,Scanderbeg,Printed for J. Watts.,London,8,Havard,William,23.65,3.5,0.075,Male,84,Drama--Tragedy,6.757142857,Uknown,Havard
Johnson,1733,Charles,"Caelia: or, The Perjur’d Lover",Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.,London,8,Johnson,Charles,52.5,3.166666667,0.075,Male,76,Drama,16.57894737,Watts,Johnson
Kelly,1733,John,"Timon in Love: or, The Innocent Theft",Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.,London,8,Kelly,John,26.25,3,0.075,Male,72,Drama--Comedy,8.75,Watts,Kelly
Mallet,1733,David,"Of Verbal Criticism: An Epistle to Mr. Pope. Occasioned by Theobald’s Shakespear, and Bentley’s Milton.",Printed for Lawton Gilliver.,London,2,Mallett,David,21,0.75,0.05,Male,18,Verse,28,Gilliver,Mallet
Phillips,1733,Edward,"The Livery Rake, and Country Lass",Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.,London,8,Phillips,Edward,4.2,1.666666667,0.05,Male,40,Drama--Opera,2.52,Watts,Phillips
Whitehead,1733,Paul,The State Dunces,"Printed for J. Dickenson, in Witch-Street.",London,2,Whitehead,Paul,10.5,0.833333333,0.05,Male,20,Verse,12.6,Uknown,Whitehead
Miller,1734,James,"The Mother-in-Law: or, The Doctor the Disease",Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.,London,8,Miller,James,80,4.333333333,0.075,Male,104,Drama--Comedy,18.46153846,Uknown,Miller
Vanbrugh,1734,"John, Sir",The Cornish Square,Printed for J. Watts at the printing-office in Wild-Court near Lincoln’s-Inn Fields.,London,8,Ralph,James,12.6,3,0.075,Male,72,Drama--Comedy,4.2,Uknown,Vanbrugh
Miller,1735,James,"The Man of Taste: or, The Guardians","Printed for John Watts, at the Printing-Office in Wild-Court, near Lincolns-Inn-Fields.",London,8,Miller,James,50,4,0.075,Male,96,Drama--Comedy,12.5,Uknown,Miller
Anacreon,1735,n/a,Odes,Printed for John Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.,London,12,Addison,John,15.75,12.58333333,0.15,Male,302,Verse,1.251655629,Watts,Anacreon
Coffey,1735,Charles,"The Merry Cobler: or, The Second Part of The Devil to Pay",Printed for John Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.,London,8,Coffey,Charles,5.25,1.666666667,0.05,Male,40,Drama--Farcical Opera,3.15,Uknown,Coffey
La Fontaine,1735,Jean de,"Tales and novels in verse. From the French of La Fontaine. By several hands. Published and compleated by Samuel Humphreys, Esq;",Edmund Curll printed in the year.,London,8,Humphreys,Samuel,35.9625,11.41666667,0.25,Male,274,Prose--Fiction,3.15,Curll,La Fontaine
Theobald,1735,Lewis,The Fatal Secret,"Printed for J. Watts; and sold by W. Feales at Rowe’s Head, the Corner of Essex-Street in the Strand.",London,12,Theobald,Lewis,6.3,3,0.025,Male,72,Drama--Tragedy,2.1,Watts,Theobald
Thomson,1735,James,Liberty,Printed for A. Millar.,London,4,Thomson,James,250,9.5,0.05,Male,228,Verse,26.31578947,Uknown,Thomson
Burnet,1736,Thomas,"Doctrina antiqua de rerum originibus: or, an inquiry into the doctrine of the philosophers of all nations, concerning the original of the world.","Printed for E. Curll, at Pope's Head, in Rose-Street, Covent-Garden.",London,8,Foxton,Thomas,7.35,9.333333333,0.25,Male,224,Prose--History,0.7875,Curll,Burnet
Langford,1736,Abraham,The Lover his own Rival,Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.,London,8,Langford,Abraham,2.1,1.833333333,0.05,Male,44,Drama--Ballad Opera,1.145454545,Uknown,Langford
Petronius Arbiter,1736,n/a,Works,Printed for J. Watts; and sold by J. Osborne at the Golden-Ball in Paternoster-Row.,London,12,Addison,John,26.25,14.41666667,0.15,Male,346,Prose--Fiction,1.820809249,Watts,Petronius
Voltaire,1736,n/a,The Tradedy of Zara,"Printed for J. Watts, at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields.",London,8,Hill,Aaron,15.75,3.666666667,0.075,Male,88,Drama--Tragedy,4.295454545,Watts,Voltaire
Havard,1737,William,King Charles the First,Printed for J. Watts.,London,8,Havard,William,60,3.25,0.075,Male,78,Drama--Historical Tragedy,18.46153846,Watts,Havard
Lynch,1737,Francis,"The Independent Patriot: or, Musical Folly",Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn-Fields.,London,8,Lynch,Francis,5.25,4.666666667,0.075,Male,112,Drama--Comedy,1.125,Uknown,Lynch
Miller,1737,James,Love The Universal Passion,"Printed for J. Watts at the Printing-Office in Wild-Court, near Lincoln’s-Inn Fields.",London,4,Miller,James,57.75,3.666666667,0.075,Male,88,Drama--Comedy,15.75,Uknown,Miller
Johnson,1738,Samuel,"London: a Poem, in Imitation of the Third Satire of Juvenal.",Printed for R. Doddesley sic.,London,2,Johnson,Samuel,10.5,0.833333333,0.05,Male,20,Verse,12.6,Dodsley,Johnson
Hume,1739,David,A Treatise of Human Nature,"Printed for John Noon, at the White-Hart, near Mercer’s-Chapel, in Cheapside.",London,8,Hume,David,58.5,34.16666667,0.5,Male,820,Prose--Philosophy,1.712195122,Noon,Hume
Virgil,1740,n/a,Aeneid,Printed for R. Dodsley. And sold by Mr. Hitch; Mr. Hinchliffe; Mr. Clements at Oxford; Mr. Crownfield and Thurlebourne at Cambridge; and Mr. Leake at Bath.,"London, Oxford, Cambridge, and Bath",4,Goldwyre,Elizabeth,52.5,26.33333333,1.05,Male,632,Verse--Epic Poem,1.993670886,Dodsley,Virgil
Riccoboni,1741,Luigi,An Historical and Critical Account of the Theatres in Europe,"Printed for T. Waller, in the Temple; and R. Dodsley, in Pall-Mall.",London,8,Guthrie,William,10.8,15.33333333,0.25,Male,368,Prose--History,0.704347826,Dodsley,Riccoboni
Whitehead,1741,William,The Danger of Writing Verse,Printed for R. Dodsley; and sold by T. Cooper.,London,2,Whitehead,William,10.5,0.666666667,0.05,Male,16,Verse--Epistle,15.75,Dodsley,Whitehead
Fielding,1742,Henry,"The History of the Adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in Imitation of The Manner of Cervantes, Author of Don Quixote.","Printed for A. Millar, over-against St. Clement’s Church, in the Strand.",London,12,Fielding,Henry,183.55,26.58333333,0.3,Male,638,Prose--Fiction,6.904702194,Millar,Fielding
Baker,1742,Henry,The Microscope Made Easy,"Printed for R. Dodsley, at Tully’s Head in Pall-Mall.",London,8,Baker,Henry,28.6125,14.83333333,0.25,Male,356,Prose--Science,1.928932584,Dodsley,Baker
Cervantes Saavedra,1742,Miguel de,Don Quixote,"Printed for J. and R. Tonson, and R. Dodsley.",London,4,Jervas,Penelope,58.5,38,2.5,Male,912,Prose--Fiction,1.539473684,Dodsley,Cervantes
Prévost,1742,abbé,The Dean of Coleraine,Printed for T. Cooper.,London,12,Anon. trans.,,16,35.58333333,0.45,Male,854,Prose--Fiction,0.449648712,Uknown,Prévost
Baker,1743,Henry,Natural History of the Polype,"Printed for R. Dodsley, at Tully’s Head in Pall-Mall, and sold by M. Cooper in Pater-Noster-Row, and J. Cuff, optician, in Fleetstreet.",London,8,Baker,Henry,33.65,9.333333333,0.2,Male,224,Prose--Science,3.605357143,Dodsley,Baker
Hoyle,1743,Edmond,A Short Treatise on the Game of Whist,Printed by James Mechell for F. Cogan at the Middle-Temple-Gate,London,12,Hoyle,Edmond,105,4.166666667,0.1,Male,100,Prose--Reference,25.2,Cogan,Hoyle
Whitehead,1743,William,An Essay on Ridicule,Printed for R. Dodsley at Tully’s Head in Pall-Mall; and sold by M. Cooper in Pater-Noster-Row.,London,2,Whitehead,William,15.75,0.833333333,0.05,Male,20,Verse,18.9,Dodsley,Whitehead
Johnson,1744,Samuel,"An Account of the Life of Mr Richard Savage, Son of the Earl Rivers",Printed for J. Roberts in Warwick-Lane.,London,8,Johnson,Samuel,15.75,7.75,0.125,Male,186,Prose--History,2.032258065,Uknown,Johnson
